|Time|Size|Power|Thread
72|156.78|2048|9|1.0
73|87.57|2048|9|2.0
74|54.25|2048|9|4.0
75|38.56|2048|9|6.0
76|40.67|2048|9|8.0
77|23.89|2048|9|10.0
78|26.5|2048|9|12.0
79|25.84|2048|9|14.0
80|25.85|2048|9|16.0
81|174.41|2048|10|1.0
82|88.99|2048|10|2.0
83|54.71|2048|10|4.0
84|39.29|2048|10|6.0
85|41.86|2048|10|8.0
86|29.61|2048|10|10.0
87|30.09|2048|10|12.0
88|30.15|2048|10|14.0
89|30.18|2048|10|16.0
90|191.35|2048|11|1.0
91|105.2|2048|11|2.0
92|54.4|2048|11|4.0
93|40.73|2048|11|6.0
94|42.18|2048|11|8.0
95|42.09|2048|11|10.0
96|29.93|2048|11|12.0
97|32.26|2048|11|14.0
98|30.3|2048|11|16.0
99|209.33|2048|12|1.0
100|105.52|2048|12|2.0
101|55.62|2048|12|4.0
102|42.48|2048|12|6.0
103|42.44|2048|12|8.0
104|42.1|2048|12|10.0
105|31.16|2048|12|12.0
106|33.45|2048|12|14.0
107|31.03|2048|12|16.0
108|226.51|2048|13|1.0
109|124.41|2048|13|2.0
110|72.29|2048|13|4.0
111|58.61|2048|13|6.0
112|40.71|2048|13|8.0
113|48.72|2048|13|10.0
114|41.02|2048|13|12.0
115|33.0|2048|13|14.0
116|33.63|2048|13|16.0
117|243.32|2048|14|1.0
118|123.74|2048|14|2.0
119|72.45|2048|14|4.0
120|61.32|2048|14|6.0
121|44.03|2048|14|8.0
122|44.95|2048|14|10.0
123|43.96|2048|14|12.0
124|37.39|2048|14|14.0
125|36.08|2048|14|16.0
126|261.13|2048|15|1.0
127|140.31|2048|15|2.0
128|75.36|2048|15|4.0
129|59.61|2048|15|6.0
130|45.01|2048|15|8.0
131|50.28|2048|15|10.0
132|49.42|2048|15|12.0
133|50.89|2048|15|14.0
134|37.57|2048|15|16.0
135|277.96|2048|16|1.0
136|147.64|2048|16|2.0
137|74.25|2048|16|4.0
138|65.17|2048|16|6.0
139|46.31|2048|16|8.0
140|49.12|2048|16|10.0
141|51.07|2048|16|12.0
142|53.15|2048|16|14.0
143|38.74|2048|16|16.0
