|time|mat_size|power|num_th|blk_size
272|58.93|2048|12|16|16.0
273|44.88|2048|12|16|32.0
274|42.65|2048|12|16|64.0
275|531.97|2048|13|1|4.0
276|504.57|2048|13|1|8.0
277|555.41|2048|13|1|16.0
278|521.21|2048|13|1|32.0
279|504.79|2048|13|1|64.0
280|287.77|2048|13|2|4.0
281|275.95|2048|13|2|8.0
282|309.02|2048|13|2|16.0
283|285.96|2048|13|2|32.0
284|278.24|2048|13|2|64.0
285|413.25|2048|13|4|4.0
286|158.22|2048|13|4|8.0
287|175.37|2048|13|4|16.0
288|161.84|2048|13|4|32.0
289|157.36|2048|13|4|64.0
290|95.0|2048|13|8|4.0
291|166.46|2048|13|8|8.0
292|98.45|2048|13|8|16.0
293|86.8|2048|13|8|32.0
294|83.71|2048|13|8|64.0
295|50.59|2048|13|16|4.0
296|99.08|2048|13|16|8.0
297|60.18|2048|13|16|16.0
298|45.05|2048|13|16|32.0
299|42.45|2048|13|16|64.0
300|571.47|2048|14|1|4.0
301|541.5|2048|14|1|8.0
302|597.49|2048|14|1|16.0
303|559.25|2048|14|1|32.0
304|545.09|2048|14|1|64.0
305|293.29|2048|14|2|4.0
306|277.8|2048|14|2|8.0
307|304.2|2048|14|2|16.0
308|285.47|2048|14|2|32.0
309|279.61|2048|14|2|64.0
310|174.51|2048|14|4|4.0
311|182.84|2048|14|4|8.0
312|175.35|2048|14|4|16.0
313|161.82|2048|14|4|32.0
314|157.07|2048|14|4|64.0
315|186.73|2048|14|8|4.0
316|168.74|2048|14|8|8.0
317|108.0|2048|14|8|16.0
318|86.61|2048|14|8|32.0
319|83.94|2048|14|8|64.0
320|72.68|2048|14|16|4.0
321|104.4|2048|14|16|8.0
322|59.71|2048|14|16|16.0
323|45.61|2048|14|16|32.0
324|42.68|2048|14|16|64.0
325|621.65|2048|15|1|4.0
326|588.25|2048|15|1|8.0
327|649.63|2048|15|1|16.0
328|607.24|2048|15|1|32.0
329|590.52|2048|15|1|64.0
330|329.11|2048|15|2|4.0
331|313.72|2048|15|2|8.0
332|359.13|2048|15|2|16.0
333|328.27|2048|15|2|32.0
334|318.34|2048|15|2|64.0
335|168.5|2048|15|4|4.0
336|161.94|2048|15|4|8.0
337|176.41|2048|15|4|16.0
338|164.5|2048|15|4|32.0
339|158.64|2048|15|4|64.0
340|355.86|2048|15|8|4.0
341|154.93|2048|15|8|8.0
342|107.39|2048|15|8|16.0
343|87.48|2048|15|8|32.0
344|84.25|2048|15|8|64.0
345|85.08|2048|15|16|4.0
346|95.16|2048|15|16|8.0
347|60.05|2048|15|16|16.0
348|45.2|2048|15|16|32.0
349|42.46|2048|15|16|64.0
350|653.84|2048|16|1|4.0
351|621.18|2048|16|1|8.0
352|683.94|2048|16|1|16.0
353|639.19|2048|16|1|32.0
354|622.87|2048|16|1|64.0
355|326.85|2048|16|2|4.0
356|314.79|2048|16|2|8.0
357|353.56|2048|16|2|16.0
358|327.17|2048|16|2|32.0
359|318.82|2048|16|2|64.0
360|180.87|2048|16|4|4.0
361|167.29|2048|16|4|8.0
362|182.15|2048|16|4|16.0
363|162.8|2048|16|4|32.0
364|159.46|2048|16|4|64.0
365|128.21|2048|16|8|4.0
366|170.32|2048|16|8|8.0
367|114.52|2048|16|8|16.0
368|88.25|2048|16|8|32.0
369|84.14|2048|16|8|64.0
370|129.73|2048|16|16|4.0
371|105.59|2048|16|16|8.0
372|60.51|2048|16|16|16.0
373|45.45|2048|16|16|32.0
374|42.5|2048|16|16|64.0
375|10.32|1024|2|1|4.0
376|8.96|1024|2|1|8.0
377|9.82|1024|2|1|16.0
378|9.62|1024|2|1|32.0
379|9.32|1024|2|1|64.0
380|5.04|1024|2|2|4.0
381|4.44|1024|2|2|8.0
382|4.92|1024|2|2|16.0
383|4.91|1024|2|2|32.0
384|4.83|1024|2|2|64.0
385|4.91|1024|2|4|4.0
386|4.71|1024|2|4|8.0
387|4.82|1024|2|4|16.0
388|4.71|1024|2|4|32.0
389|4.77|1024|2|4|64.0
390|5.17|1024|2|8|4.0
391|4.33|1024|2|8|8.0
392|4.85|1024|2|8|16.0
393|4.89|1024|2|8|32.0
394|4.77|1024|2|8|64.0
395|5.06|1024|2|16|4.0
396|4.59|1024|2|16|8.0
397|5.06|1024|2|16|16.0
398|4.85|1024|2|16|32.0
399|4.67|1024|2|16|64.0
400|15.23|1024|3|1|4.0
401|13.62|1024|3|1|8.0
402|15.09|1024|3|1|16.0
403|14.78|1024|3|1|32.0
404|14.42|1024|3|1|64.0
405|10.29|1024|3|2|4.0
406|9.43|1024|3|2|8.0
407|10.06|1024|3|2|16.0
408|9.71|1024|3|2|32.0
409|9.64|1024|3|2|64.0
410|5.95|1024|3|4|4.0
411|6.71|1024|3|4|8.0
412|4.77|1024|3|4|16.0
413|4.81|1024|3|4|32.0
414|4.61|1024|3|4|64.0
415|8.09|1024|3|8|4.0
416|4.5|1024|3|8|8.0
417|5.02|1024|3|8|16.0
418|4.74|1024|3|8|32.0
419|4.6|1024|3|8|64.0
420|10.25|1024|3|16|4.0
421|7.41|1024|3|16|8.0
422|5.1|1024|3|16|16.0
423|4.84|1024|3|16|32.0
424|4.56|1024|3|16|64.0
425|20.95|1024|4|1|4.0
426|18.37|1024|4|1|8.0
427|20.29|1024|4|1|16.0
428|19.78|1024|4|1|32.0
429|18.95|1024|4|1|64.0
430|10.16|1024|4|2|4.0
431|9.28|1024|4|2|8.0
432|10.07|1024|4|2|16.0
433|9.83|1024|4|2|32.0
434|9.7|1024|4|2|64.0
435|5.99|1024|4|4|4.0
436|4.58|1024|4|4|8.0
437|5.29|1024|4|4|16.0
438|4.81|1024|4|4|32.0
439|4.64|1024|4|4|64.0
440|10.33|1024|4|8|4.0
441|6.65|1024|4|8|8.0
442|5.08|1024|4|8|16.0
443|4.78|1024|4|8|32.0
444|4.66|1024|4|8|64.0
445|6.4|1024|4|16|4.0
446|4.98|1024|4|16|8.0
447|5.21|1024|4|16|16.0
448|4.92|1024|4|16|32.0
449|4.63|1024|4|16|64.0
450|25.98|1024|5|1|4.0
451|23.15|1024|5|1|
452|25.24|1024|5|1|16.0
453|24.45|1024|5|1|32.0
454|23.97|1024|5|1|64.0
455|16.1|1024|5|2|4.0
456|13.75|1024|5|2|8.0
457|15.23|1024|5|2|16.0
458|14.64|1024|5|2|32.0
459|14.35|1024|5|2|64.0
460|10.07|1024|5|4|4.0
461|9.9|1024|5|4|8.0
462|10.38|1024|5|4|16.0
463|9.87|1024|5|4|32.0
464|9.67|1024|5|4|64.0
465|12.25|1024|5|8|4.0
466|9.33|1024|5|8|8.0
467|5.46|1024|5|8|16.0
468|5.3|1024|5|8|32.0
469|5.0|1024|5|8|64.0
470|6.94|1024|5|16|4.0
471|7.06|1024|5|16|8.0
472|5.24|1024|5|16|16.0
473|5.15|1024|5|16|32.0
474|4.81|1024|5|16|64.0
475|31.09|1024|6|1|4.0
476|27.92|1024|6|1|8.0
477|30.63|1024|6|1|16.0
478|29.7|1024|6|1|32.0
479|28.78|1024|6|1|64.0
480|15.57|1024|6|2|4.0
481|14.15|1024|6|2|8.0
482|15.35|1024|6|2|16.0
483|15.3|1024|6|2|32.0
484|14.36|1024|6|2|64.0
485|11.41|1024|6|4|4.0
486|10.62|1024|6|4|8.0
487|10.35|1024|6|4|16.0
488|9.97|1024|6|4|32.0
489|9.73|1024|6|4|64.0
490|13.15|1024|6|8|4.0
491|10.08|1024|6|8|8.0
492|6.53|1024|6|8|16.0
493|5.25|1024|6|8|32.0
494|4.83|1024|6|8|64.0
495|22.53|1024|6|16|4.0
496|7.43|1024|6|16|8.0
497|5.99|1024|6|16|16.0
498|5.33|1024|6|16|32.0
499|5.01|1024|6|16|64.0
500|36.24|1024|7|1|4.0
501|32.37|1024|7|1|8.0
502|35.49|1024|7|1|16.0
503|34.38|1024|7|1|32.0
504|33.87|1024|7|1|64.0
505|20.37|1024|7|2|4.0
506|18.55|1024|7|2|8.0
507|20.56|1024|7|2|16.0
508|19.89|1024|7|2|32.0
509|19.36|1024|7|2|64.0
510|11.74|1024|7|4|4.0
511|10.35|1024|7|4|8.0
512|10.69|1024|7|4|16.0
513|9.88|1024|7|4|32.0
514|9.85|1024|7|4|64.0
515|8.27|1024|7|8|4.0
516|10.25|1024|7|8|8.0
517|6.06|1024|7|8|16.0
518|5.13|1024|7|8|32.0
519|4.85|1024|7|8|64.0
520|16.39|1024|7|16|4.0
521|8.18|1024|7|16|8.0
522|5.95|1024|7|16|16.0
523|5.33|1024|7|16|32.0
524|5.04|1024|7|16|64.0
525|41.72|1024|8|1|4.0
526|37.39|1024|8|1|8.0
527|40.92|1024|8|1|16.0
528|39.64|1024|8|1|32.0
529|38.58|1024|8|1|64.0
530|20.73|1024|8|2|4.0
531|18.78|1024|8|2|8.0
532|20.38|1024|8|2|16.0
533|19.97|1024|8|2|32.0
534|19.09|1024|8|2|64.0
535|10.91|1024|8|4|4.0
536|9.63|1024|8|4|8.0
537|10.47|1024|8|4|16.0
538|10.19|1024|8|4|32.0
539|9.82|1024|8|4|64.0
540|6.37|1024|8|8|4.0
541|10.53|1024|8|8|8.0
542|6.9|1024|8|8|16.0
543|5.3|1024|8|8|32.0
544|5.17|1024|8|8|64.0
545|9.17|1024|8|16|4.0
546|10.58|1024|8|16|8.0
547|6.27|1024|8|16|16.0
548|5.25|1024|8|16|32.0
549|4.79|1024|8|16|64.0
550|46.8|1024|9|1|4.0
551|41.89|1024|9|1|8.0
552|45.82|1024|9|1|16.0
553|44.51|1024|9|1|32.0
554|43.59|1024|9|1|64.0
555|25.97|1024|9|2|4.0
556|23.29|1024|9|2|8.0
557|25.44|1024|9|2|16.0
558|24.71|1024|9|2|32.0
559|24.26|1024|9|2|64.0
560|15.32|1024|9|4|4.0
561|14.16|1024|9|4|8.0
562|15.07|1024|9|4|16.0
563|14.82|1024|9|4|32.0
564|14.58|1024|9|4|64.0
565|19.61|1024|9|8|4.0
566|12.37|1024|9|8|8.0
567|10.2|1024|9|8|16.0
568|10.21|1024|9|8|32.0
569|9.9|1024|9|8|64.0
570|8.3|1024|9|16|4.0
571|10.54|1024|9|16|8.0
572|5.82|1024|9|16|16.0
573|5.46|1024|9|16|32.0
574|5.1|1024|9|16|64.0
575|52.81|1024|10|1|4.0
576|46.88|1024|10|1|8.0
577|51.03|1024|10|1|16.0
578|49.81|1024|10|1|32.0
579|48.66|1024|10|1|64.0
580|26.19|1024|10|2|4.0
581|23.27|1024|10|2|8.0
582|25.58|1024|10|2|16.0
583|24.95|1024|10|2|32.0
584|24.37|1024|10|2|64.0
585|16.07|1024|10|4|4.0
586|14.26|1024|10|4|8.0
587|15.23|1024|10|4|16.0
